,Location,City,Property Type,Property(BHK),Rent,Availabilities,Tenant Preferreds,Carpet Areas(sqft),Bathrooms,Floors
0,"Kokapet, Outer Ring",Road,Villa,4,650000,Immediately,Bachelors/Family,9700,4,4
1,Nalagandla,,Flat,4,250000,Immediately,Bachelors/Family,2809,4,4
2,Nalagandla,,Flat,3,130000,Immediately,Family,4030,5,20
3,Kondapur,,Flat,2,130000,Immediately,Bachelors,1600,5,5
4,"Kollur, Outer Ring",Road,Villa,5,140000,Immediately,Bachelors/Family,7000,7,4
5,Masjid,"Banda,",Flat,3,490000,Immediately,Bachelors/Family,700,7,2
6,Shaikpet,,Flat,3,12000,Immediately,Bachelors/Family,6000,3,1
7,Pragathi Nagar,"Kukatpally,",Flat,3,130000,Immediately,Bachelors/Family,1800,3,1
8,Tirumalagiri,,Villa,2,36000,Immediately,Bachelors/Family,2400,2,3
9,Hitech,"City,",Flat,3,110000,Immediately,Bachelors/Family,450,2,2
10,Kondapur,,Flat,3,5500,Immediately,Bachelors/Family,1200,2,1
11,"Kokapet, Outer Ring","Road,",Flat,3,40000,Immediately,Bachelors/Family,1500,2,2
12,Khajaguda,,Villa,4,82500,Immediately,Bachelors/Family,1600,2,2
13,Defence Colony,Sainikpuri,Flat,3,160000,Immediately,Bachelors/Family,2200,2,1
14,Pragathi,"Enclave,",Flat,3,130000,Immediately,Bachelors/Family,1450,> 10,1
15,"Financial District, Nanakram","Guda,",Flat,3,120000,Immediately,Bachelors/Family,1700,> 10,3
16,Izzathnagar,,Flat,4,320000,Immediately,Bachelors/Family,8000,3,3
17,"Basheer Bagh, NH","7,",Flat,2,520000,Immediately,Bachelors/Family,444,3,4
18,Chanda,Nagar,Villa,3,95000,Immediately,Bachelors/Family,550,2,1
19,"Narsingi, Outer Ring","Road,",Flat,3,15000,Immediately,Bachelors/Family,1400,2,4
20,Narayanguda,,Flat,3,20000,Immediately,Bachelors/Family,8235,1,2
21,Gachibowli,,Flat,4,120000,Immediately,Bachelors/Family,2000,1,2
22,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,120000,From Aug '24,Bachelors/Family,1100,2,2
23,Dandamudi Enclave,"Jeedimetla,",Flat,4,40000,Immediately,Bachelors/Family,2400,2,5
24,Hastinapuram,,Flat,2,50000,Immediately,Bachelors/Family,2400,1,2
25,Alwal,,Flat,2,30000,Immediately,Bachelors/Family,4900,1,2
26,Puppalguda,,Flat,3,30000,Immediately,Bachelors/Family,3459,1,1
27,Gachibowli,,Flat,3,30000,Immediately,Bachelors/Family,1356,1,1
28,"Kokapet, Outer Ring","Road,",Flat,2,27000,Immediately,Bachelors,1296,2,1
29,leke villa,Gandipet,Villa,5,28000,Immediately,Bachelors/Family,750,2,5
30,"Kokapet, Outer Ring",Road,Villa,4,11000,Immediately,Bachelors,1775,4,6
31,Nalagandla,,Flat,4,160000,Immediately,Bachelors/Family,3400,4,2
32,Nalagandla,,Flat,3,75000,Immediately,Bachelors/Family,1600,4,3
33,Kondapur,,Flat,2,47000,Immediately,Bachelors/Family,2000,4,1
34,"Kollur, Outer Ring",Road,Villa,5,80000,Immediately,Bachelors/Family,1800,1,1
35,Masjid,"Banda,",Flat,3,130000,Immediately,Bachelors/Family,2600,1,4
